127.0.0.1 - - [06/Oct/2023:18:08:37 +0900] "GET / HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:08:38 +0900] "GET /CustomerManage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:08:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:08:39 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:11:16 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:11:19 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:11:21 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:30:12 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:30:43 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [06/Oct/2023:18:31:07 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:27:58 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:27:59 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:28:06 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:28:08 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:33:18 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:37:26 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:38:21 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:38:33 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:44:34 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:46:04 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:46:06 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:46:07 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:46:15 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:50:00 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:32 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:37 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:40 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:41 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:50 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:51 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:55 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:24:58 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:25:08 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:27:32 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:27:34 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:27:36 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [06/Oct/2023:20:27:37 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3027
