127.0.0.1 - - [02/Oct/2023:18:32:31 +0900] "GET / HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:32:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:32:34 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:43:53 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:44:08 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:44:08 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:44:09 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:44:27 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [02/Oct/2023:18:45:43 +0900] "GET //UserServlet HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:03:57 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:04:06 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:04:11 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:20 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:20 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:23 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:32 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:35 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [02/Oct/2023:19:55:39 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:11:10 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:11:13 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:11:17 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:11:30 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:16:17 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:16:24 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1413
